No,Skills,Link Youtube
1,python,https://youtube.com/playlist?list=PLZS-MHyEIRo59lUBwU-XHH7Ymmb04ffOY&si=7puwvTZ0zHUZqkgz
2,cloud computing,https://youtube.com/playlist?list=PL2O3HdJI4voFv4rLFFDKPY23yWV4ZIzrv&si=Sj2D7n_DBQ6GAFFe
3,sql,https://youtube.com/playlist?list=PLTbTZ9z52SzMi5EmUGqVceaIVGuk426on&si=EytRrtG4DyRaFgQv
4,uiux design,https://youtube.com/playlist?list=PLCGYmOfiRxUoFP9Swh9OxpNPbRqcFbB0u&si=BpYv3ey01QbGbKY2
5,cicd,https://youtu.be/v-pqoP6ro-8?si=HnwGl0Mynh2jBSHW
6,javascript,https://youtube.com/playlist?list=PL-CtdCApEFH8SS0Gsj9_a0cC0jypFEoSg&si=0fnbjxl0IEut8nfY
7,machine learning,https://youtube.com/playlist?list=PL2O3HdJI4voHNEv59SdXKRQVRZAFmwN9E&si=1sxoAw8wYw5xSqot
8,aws,https://youtube.com/playlist?list=PL2O3HdJI4voHl6yAoFI7UR4ne2CkWyVFB&si=yAQ1q3MEBCmzXCb8
9,azure,https://youtube.com/playlist?list=PLvuXEs4kRMl_lCoL2FMZjaIFKYprROyUR&si=kggFhGjg4m4fBZoY
10,security,https://youtube.com/playlist?list=PL2O3HdJI4voGGHElHBhJJF3J-JsjEuXPi&si=jMih60idbNPJrwnv
11,networking,https://youtube.com/playlist?list=PLbLqbqNn7VYpEBDzGnbsNwm_I15GUrx45&si=HcCGCXvC1tFfiDQa
12,java,https://youtube.com/playlist?list=PLZS-MHyEIRo51w0Hmqi0C8h2KWNzDfo6F&si=erendgRZ4Y3qTwO2
13,nodejs,https://youtube.com/playlist?list=PL-CtdCApEFH9540Fr7MvF9t-vG6pR9vjw&si=OUdv8MVBuvXTLfVr
14,data science,https://youtube.com/playlist?list=PLIeJsyt_FUfIeFxVGGNtXrdtaa83NVA2y&si=mINhQoF2mlOBbT-o
15,data visualization,https://youtube.com/playlist?list=PL2O3HdJI4voHrfoMFvkDeblmjarDN8nC8&si=WiFbyLyygIU6jddi
16,linux,https://youtube.com/playlist?list=PL7i6LK99YiauqvOa0ckLfKR_mKo7javwv&si=9EPb48TN3ySN2tGm
17,jenkins,https://youtube.com/playlist?list=PL-CtdCApEFH_nxerGqyG2ai1tZ4hUgQWg&si=naQOGhub3c0KP1r5
18,git,https://youtube.com/playlist?list=PL-CtdCApEFH_lYGV8hxqjtKmFA_xeLupq&si=y0uIbZSsDVnCBRa3
19,automation,https://youtube.com/playlist?list=PL-CtdCApEFH8XrWyQAyRd6d_CKwxD8Ime&si=pRdiRTmLW4dm1Nbm
20,algorithms,https://youtu.be/uqVJc9lLknA?si=Jv2e8tOXOQxrQ4lA
21,mobile development,https://youtube.com/playlist?list=PLjRBWix725xq87NI2WcSc_k7uBW35pF6E&si=n0JQvWqHxcs8Phfv
22,html,https://youtu.be/hMDJyb7VkYw?si=7WLcybFV-26MGPQt
23,css,https://youtu.be/8FhmFuGLhaQ?si=ke_TEjmaxSVzRZ2s
24,react,https://youtube.com/playlist?list=PLFIM0718LjIUu3X2zYNqomEWs3sYd-fV1&si=m_WQ2inod3IBXN1v
25,angular,https://youtube.com/playlist?list=PL9At9z2rvOC9eOWtl_-8vVm5jtc_O8ytu&si=Dt_Mge6vdE4wA_KK
26,c,https://youtube.com/playlist?list=PLzp2tdO7J49SJ07TRJcqefpGYDU29o_X4&si=TZe3Sou8TtCUgEBN
27,prototyping,https://youtu.be/tv_4Umlfkyw?si=lY7iFRrIZErB1Kug
28,deep learning,https://youtube.com/playlist?list=PLGn1wRmlR3Ms0f5m56nTh0Jr-nZ6Rv7NU&si=lR8ssMidauiFOQYt
29,systems design,https://youtube.com/playlist?list=PLMCXHnjXnTnvo6alSjVkgxV-VH6EPyvoX&si=-mGCpfJsX_McwYYz
30,r,https://youtube.com/playlist?list=PLIeJsyt_FUfJS6o2fMNuI7hGeBpqRkYMS&si=Ya01ntU2JTu5J0yH
31,statistics,https://youtube.com/playlist?list=PL0o_zxa4K1BVsziIRdfv4Hl4UIqDZhXWV&si=3Id1IwdsH3uNepn6
32,etl,https://youtu.be/bYgd_OBfGRE?si=R1WSjoU3GMN_S9uC
33,data modeling,https://youtube.com/playlist?list=PLy4OcwImJzBLWhUqduwLs30YHiDpX4Xp7&si=p5-6fnI9y1fBzIzO
34,docker,https://youtube.com/playlist?list=PL-CtdCApEFH-A7jBmdertzbeACuQWvQao&si=wQANrCJhwDdtQVU9
35,kubernetes,https://youtube.com/playlist?list=PL-CtdCApEFH8XrWyQAyRd6d_CKwxD8Ime&si=vbpIAY8ZikImS9I2
36,terraform,https://youtube.com/playlist?list=PL4SGTPmSY0qngs44Ssc0RHO9h4fmZ9JUb&si=XBN1_Ya1HHqwTL6b
37,scripting,https://youtube.com/playlist?list=PLdpzxOOAlwvIZ7u-gtpX_bozrspUbTQ1S&si=JrumuC9rvOYBcRd4
38,data analysis,https://youtube.com/playlist?list=PLNmdqL6SQzE2OJaayrH5odyY0pPrhDWFR&si=xmp7RfDgZ52gSmMe
39,android sdk,https://youtube.com/playlist?list=PLQ_Ai1O7sMV0LRCZJaHpl_9WLQunMqrzG&si=S_Ne3Il0iL1Hk-ux
40,kotlin,https://youtube.com/playlist?list=PL-CtdCApEFH_hja5vRJgQOXylCiQud7Qa&si=EWCpi8XRFfUWGieQ
41,rest api,https://youtube.com/playlist?list=PLFIM0718LjIW7AsIbnhFg15t9yx4H-sQ0&si=o1wF3O06rMzLbWCw
42,google cloud,https://youtu.be/CQQkojND9Eg?si=-QoNBKLl4NLV7GKE
43,spark,https://youtu.be/oKWWHTgJzBk?si=GGA1B6i8Mpb6qqUk
44,hadoop,https://youtube.com/playlist?list=PLYwpaL_SFmcAhiP6C1qVorA7HZRejRE6M&si=76jBWIWSr8OxGPxZ
45,swift,https://youtube.com/playlist?list=PLH1gH0TmFBBgvKRVGN-2YJgGcdji9unHp&si=R0t2xddCH9WsVdOY
46,objectivec,https://youtube.com/playlist?list=PLWZIhpNhtvfoNC3gEHCHA4rZCDwb8f8R9&si=S3weTTFKlkjnLbYj
47,tcpip,https://youtube.com/playlist?list=PLEoK7C0HvDQnkx_yBfuFCvF7ecfCKiWA_&si=ZX9Zt9DpZca56l_k
48,lanwan,https://youtube.com/playlist?list=PLiqv0ZJPMZsLNljfNaZ7TYwASbWSAqTXy&si=g5Ai3xV55Yz1hU_h
49,routing,https://youtube.com/playlist?list=PLks8W396lro78Sxq4lPJZiXCdGT7gY166&si=u03ZaQh7Hlb1si0X
50,switching,https://youtube.com/playlist?list=PLmgyxPj-5jn6OW48mZb2GlBd-qHrBI32l&si=-QbMrHdqUCHmY_k2
51,firewalls,https://youtube.com/playlist?list=PLS0spxc8nUsDDb-ejWsbY50xknZCEmIMM&si=ZHXuJEIwXN_ACPsp
52,vpn,https://youtube.com/playlist?list=PLmgyxPj-5jn7knP3rq1k2UiDRSJNh7bU1&si=17eX4dqTmkvuhbQm
53,data structures,https://youtu.be/q04buHDFT6M?si=zFUrwgf_uYg1w58k
54,software development,https://youtube.com/playlist?list=PLEiEAq2VkUUJfeP9bgWAEs-NbGJyYXc-v&si=hNkHeKy6MXv4mEKY
55,wireframing,https://youtu.be/WW2uRdzLumk?si=6NCdBWWUCUtLIt8c
56,user research,https://youtu.be/3l939Ug8BEU?si=3NdnzFkya2MsnLVQ
57,usability testing,https://youtu.be/U0Cokfr8zR4?si=CO7UDVYLAltwkF51
58,database management,https://youtube.com/playlist?list=PLBlnK6fEyqRi_CUQ-FXxgzKQ1dwr_ZJWZ&si=X7oH_RPrPrrMlUo6
59,ai architecture,https://youtube.com/playlist?list=PLE8D3x5W9LN2C3DEd8-bH-hp1NCsCylOC&si=QOgSr94VjVEMcpfM
60,scalability,https://youtube.com/playlist?list=PLLhBy6YSIT0ANaihpjwDBSBju0qUZ82SK&si=4FhTYtdqI4dkQEsH
61,model deployment,https://youtu.be/StL9rnX9XyU?si=9vB99zOu_rXEv29W
62,excel,https://youtube.com/playlist?list=PLh4cGGFoAFualkAyD-kb42hkyGYzaj1BB&si=xk9y5TLJ8ksjlr70
63,power bi,https://youtube.com/playlist?list=PLvuXEs4kRMl-i-IZ-ehmr8_ig5F48W5O4&si=yeGX05yDM_Tj_SdQ
64,data mining,https://youtube.com/playlist?list=PL5I6SZqMk8fGX43q6zJIuwbLNlSWs7PJ4&si=RhbRpzMukRZvs5oO
65,data cleansing,https://youtube.com/playlist?list=PLRJ69V4D6pSFpJZxI-umTb5LY5ESpKd32&si=OMb8t7aK5WYQ6z0z
66,tableau,https://youtube.com/playlist?list=PL3OjbIVQeSzlFa2pfVomE2Bc_3T9gPcyJ&si=trYQHZfi_9Zou1lw
67,ansible,https://youtube.com/playlist?list=PLT98CRl2KxKEUHie1m24-wkyHpEsa4Y70&si=4yEZkxxpkEJguFFN
68,tensorflow,https://youtube.com/playlist?list=PLBKh3ZtuAtGFdmchLIvFxBFgnqCWPIQYP&si=7qhuCxdFTqk9bTVo
69,keras,https://youtube.com/playlist?list=PLfYPZalDvZDKobMDgXMGbmxaVtazTZy9g&si=0SGQp656SPzjc7_y
70,pytorch,https://youtube.com/playlist?list=PLl-Zj2iuqlwvMCvaX_4POywGiw4TFuHp1&si=eYGYQevjO0BRW4SD
71,natural language processing,https://youtube.com/playlist?list=PL2deYCtxgip3og4k-_3HBWw-9ZtOZMWDj&si=KePDWBHc8NJsvh3z
72,computer vision,https://youtube.com/playlist?list=PLF1krL_nkpHgKMJnaQwyRnU4KtNiRfsuv&si=kZ7j3Q3f7Wdhx76w
73,android studio,https://youtube.com/playlist?list=PLkOobWi4XsSPAKrYOBoWjGnXRsekshJKF&si=efi_GUa4PPWcNQEL
74,firebase,https://youtube.com/playlist?list=PLLhpK5IKtgqkN3vr6NVQlV8U0DKdypdL8&si=Y3daESwU19r41u_y
75,blockchain,https://youtube.com/playlist?list=PLH1gH0TmFBBhvZi4kEqU6kCjyv_y8qBae&si=dPfOHo012KH5XzMc
76,ethereum,https://youtu.be/dgzyEOpBzsU?si=rO3QHD1C7nvuqN17
77,smart contracts,https://youtube.com/playlist?list=PLH1gH0TmFBBiqkvYJACbS_iwoYVFVqGL3&si=7XHV-yAs1dzY4m7g
78,solidity,https://youtu.be/oKKO2h3ygsU?si=7ykh1-VSxv7GyAgy
79,cryptocurrency,https://youtube.com/playlist?list=PLAAsdVgd9DsLLTBsIHEoE8VJzCdVBXYBE&si=G6J-lM8XWJ6Vixnm
80,distributed ledger,https://youtu.be/RuqkKcmvUJo?si=pbiBYeq2t91KFcMH
81,consensus algorithms,https://youtu.be/doQFsXfVQuQ?si=FLBjhehAdtSHuyZh
82,web3,https://youtu.be/-kn3zhVaEgI?si=RlP4ovT4FqXTBioO
83,cloud architecture,https://youtube.com/playlist?list=PL9ooVrP1hQOFtZ5oAAeOgi_nH-txMcDMu&si=cbd1Gxv-uJuNvybo
